battlecruiser1              us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.166   34.16.119.104    RUNNING
bs5-20250427-140518         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.68    34.45.253.240    RUNNING
bs5-20250427-140519         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.69    34.121.154.157   RUNNING
bs5-20250427-153901         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.116   34.10.189.114    RUNNING
bs5-20250427-153903         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.117   34.59.248.69     RUNNING
bs5-20250427-153904         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.135   34.135.49.132    RUNNING
bs5-20250427-153905         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.136   34.123.26.83     RUNNING
bs5-20250427-153906         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.137   34.173.156.231   RUNNING
bs5-20250427-170108         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.201   34.9.103.121     RUNNING
bs5-20250427-170110         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.202   34.122.39.197    RUNNING
bs5-20250427-170111         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.203   34.59.214.237    RUNNING
bs5-20250427-170113         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.204   34.57.86.171     RUNNING
bs5-20250427-170115         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.205   34.66.100.74     RUNNING
bs5-20250427-170118         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.206   35.192.147.181   RUNNING
bs5-20250427-183642         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.254   104.197.91.110   RUNNING
bs5-20250427-183643         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.255   34.172.45.36     RUNNING
bs5-20250427-183646         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.15.194  104.154.64.52    RUNNING
bs5-20250427-183648         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.15.195  34.69.119.173    RUNNING
bs5-20250427-183649         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.15.196  34.67.26.114     RUNNING
bs5-20250427-183652         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.15.197  104.198.255.66   RUNNING
bs5-20250428-094452         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.177   34.30.175.17     RUNNING
bs5-20250428-094453         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.15.227  34.69.33.108     RUNNING
bs5-20250428-094500         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.15.228  34.10.139.1      RUNNING
bs5-20250428-094501         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.15.229  34.69.41.76      RUNNING
bs5-20250428-094503         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.15.230  34.56.209.63     RUNNING
bs5-20250428-094505         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.15.231  34.55.225.5      RUNNING
bs6-20250427-124739         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.32    34.66.247.196    RUNNING
bs6-20250427-124741         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.34    34.67.120.80     RUNNING
bs6-20250427-124742         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.35    34.132.55.120    RUNNING
bs6-20250427-124746         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.36    34.69.2.52       RUNNING
bs6-20250427-124749         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.37    34.172.15.4      RUNNING
bs6-20250427-124752         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.38    34.171.135.189   RUNNING
bs6-20250427-140605         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.70    34.173.53.17     RUNNING
bs6-20250427-140606         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.71    34.44.79.35      RUNNING
bs6-20250427-140608         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.72    34.42.86.2       RUNNING
bs6-20250427-140609         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.73    104.197.143.234  RUNNING
bs6-20250427-140611         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.74    34.31.143.251    RUNNING
bs6-20250427-140612         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.75    34.16.54.100     RUNNING
bs6-20250427-153945         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.138   34.171.2.194     RUNNING
bs6-20250427-153946         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.139   34.171.104.194   RUNNING
bs6-20250427-153948         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.140   34.9.226.158     RUNNING
bs6-20250427-153949         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.141   35.225.110.165   RUNNING
bs6-20250427-153951         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.142   34.121.113.235   RUNNING
bs6-20250427-153953         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.143   34.135.219.140   RUNNING
bs6-20250427-170147         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.207   34.56.89.208     RUNNING
bs6-20250427-170149         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.208   34.45.53.166     RUNNING
bs6-20250427-170151         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.209   35.225.114.73    RUNNING
bs6-20250427-170152         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.210   34.171.15.51     RUNNING
bs6-20250427-170154         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.211   34.57.48.55      RUNNING
bs6-20250427-170155         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.212   104.154.208.82   RUNNING
bs6-20250427-183740         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.15.198  34.68.63.99      RUNNING
bs6-20250427-183742         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.15.199  34.58.227.149    RUNNING
bs6-20250427-183743         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.15.200  146.148.91.15    RUNNING
bs6-20250427-183746         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.15.202  34.56.72.21      RUNNING
bs6-20250427-183748         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.15.204  34.42.226.182    RUNNING
bs6-20250427-183750         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.15.205  34.58.143.7      RUNNING
bs6-20250428-094552         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.15.232  104.197.138.124  RUNNING
bs6-20250428-094554         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.15.233  34.56.216.224    RUNNING
bs6-20250428-094556         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.15.234  34.10.41.39      RUNNING
